id,title,displayTitle,publishedAt,views,likes,dislikes
lTSmtx6fcP8,"Higher Brothers x HARIKIRI - AD Milk 🥛","Higher Brothers x HARIKIRI - AD Milk 🥛",2018-03-01T15:00:05.000Z,304050,7786,916
s1ah3tQzSOA,"AUGUST 08 feat. Smino - Blood On My Hands (Official Music Video)","AUGUST 08 feat. Smino - Blood On My Hands",2019-03-04T15:00:16.000Z,296277,4979,88
kFyQbm1-CNs,"Higher Brothers - Wudidong (Lyric Video)","Higher Brothers - Wudidong",2017-06-05T13:14:27.000Z,293016,7138,122
pzMeaNs7WHc,"Suboi - N-SAO? (Official Music Video)","Suboi - N-SAO?",2018-08-02T13:00:06.000Z,281909,16170,269
zvSOHV7rQRA,"AUGUST 08 - Lately (Official Music Video)","AUGUST 08 - Lately",2018-04-11T14:08:49.000Z,265285,7576,163
AGsanZ_z0zQ,"Yaeji -  Noonside (Official Video) // 88rising NYC / SEOUL","Yaeji -  Noonside",2017-03-01T17:11:27.000Z,250645,4427,116
kbxiNPj072k,"lilcobaine  - Let It Play (Official)","lilcobaine  - Let It Play",2018-02-12T06:37:22.000Z,249020,9715,566
hb90IKx2anc,"Higher Brothers - Ding Mogu 顶蘑菇 (Produced by Maaly Raw)","Higher Brothers - Ding Mogu 顶蘑菇 (Produced by Maaly Raw)",2016-09-23T23:00:17.000Z,248895,3859,110
GxaOLnKnir4,"josh pan - jugg (ft. bbno$)","josh pan - jugg (ft. bbno$)",2018-10-01T14:01:07.000Z,236685,13079,320
YWNXTOC0ZUE,"Higher Brothers & Ski Mask the Slump God - Rich Bitch (Official Audio)","Higher Brothers & Ski Mask the Slump God - Rich Bitch",2018-01-18T16:00:33.000Z,232066,9114,80
61Lie0-kDEM,"AUGUST 08 - Funeral (Official Music Video)","AUGUST 08 - Funeral",2018-03-08T15:00:03.000Z,227879,10274,162
f1fLFWxCCbI,"NIKI - Around","NIKI - Around",2018-05-24T13:45:00.000Z,227168,5241,45
CftFp0sMgc0,"Higher Brothers - We Talkin Bout feat. KOHH (prod. Don Krez)","Higher Brothers - We Talkin Bout feat. KOHH (prod. Don Krez)",2019-02-22T05:00:01.000Z,226346,6829,74
nt5zOti3Lms,"Lexie Liu - Love and Run (Official Music Video)","Lexie Liu - Love and Run",2019-03-12T14:00:11.000Z,224800,10612,212
cGEtGWRRqz4,"Dumbfoundead - P.A.A.C. (Protect At All Cost)","Dumbfoundead - P.A.A.C. (Protect At All Cost)",2017-11-29T18:00:06.000Z,220383,8061,195
VoSyxm3BLUs,"The Kinjaz x Goldlink - Spectrum // Dance Video","The Kinjaz x Goldlink - Spectrum",2016-07-21T20:18:00.000Z,216421,4269,25
4Tk-qnxNWRs,"Keith Ape - My Wrist Clearer Than Water!","Keith Ape - My Wrist Clearer Than Water!",2018-10-11T14:00:01.000Z,188755,7219,235
_BujKehbSN4,"Rina Sawayama - Valentine (What's It Gonna Be)","Rina Sawayama - Valentine (What's It Gonna Be)",2018-02-14T08:00:01.000Z,188029,7030,105
sTm1DlhUKSI,"KiD TRUNKS. - JACK FROST! xxx Vietnamese Rapper from South Florida","KiD TRUNKS. - JACK FROST! xxx Vietnamese Rapper from South Florida",2016-12-20T14:21:52.000Z,185420,4841,70
FeCUWvQ-r-w,"Lexie Liu - Outta Time (feat. KILLY)","Lexie Liu - Outta Time (feat. KILLY)",2019-02-01T15:00:19.000Z,181380,6064,66
olSm36s7FVE,"Higher Brothers - Top feat. Soulja Boy","Higher Brothers - Top feat. Soulja Boy",2019-02-22T05:00:07.000Z,161971,4808,137
kvdAujCpmQ0,"AUGUST 08 - Funeral","AUGUST 08 - Funeral",2018-02-07T15:00:04.000Z,161454,7051,108
